epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,2.3542827726745608,11.953999999999999,54.464,2.338178094482422,10.71,58.120000000000005
2,2.3010145948028566,13.597999999999999,58.082,2.319164878463745,11.65,59.809999999999995
3,2.277295689163208,14.824000000000002,60.744,2.3543940063476563,13.489999999999998,58.75
4,2.271594744796753,15.27,61.458,2.29014210357666,13.120000000000001,66.47999999999999
5,2.2592691844177244,15.89,62.918,2.2388465045928956,15.709999999999999,63.88
6,2.2527807304382326,16.234,63.544,2.240022312927246,19.55,65.93
7,2.247097356414795,16.85,64.23,2.2315105308532717,17.88,65.01
8,2.2348338835906985,17.24,64.77000000000001,2.2218134895324706,17.1,69.67
9,2.234432512664795,17.424,65.35,2.183062189865112,20.18,69.34
10,2.232646082611084,17.642,65.474,2.1944111156463624,19.919999999999998,68.02
11,2.2140515604400637,18.15,66.56,2.2817965305328367,18.05,64.31
12,2.223799677886963,17.682000000000002,66.144,2.1234779529571535,23.04,73.97
13,2.2207186029815675,18.238,66.378,2.1727764057159424,20.69,69.69
14,2.208318185272217,18.332,67.22399999999999,2.196977364730835,18.61,68.95
15,2.1998113926696776,18.759999999999998,67.608,2.1308284523010252,23.0,71.99
16,2.2142273473358154,18.578,67.05600000000001,2.1650210456848145,19.41,72.7
17,2.212942607727051,18.752,67.232,2.2114989795684816,19.470000000000002,67.77
18,2.2044524362945555,18.744,67.634,2.283246842956543,17.82,67.47
19,2.2113336643218995,18.414,67.244,2.181764553451538,22.24,68.7
20,2.195438214797974,19.298000000000002,68.16600000000001,2.1673286876678466,20.27,71.3
